Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Rasolofoson R.A., Ferraro P.J., Jenkins C.N., Jones J.P.G.","56520147900;7005745384;8730719900;55388537800;","Effectiveness of Community Forest Management at reducing deforestation in Madagascar",2015,"Biological Conservation","184",,,"271","277",,82,"10.1016/j.biocon.2015.01.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922986699&doi=10.1016%2fj.biocon.2015.01.027&partnerID=40&md5=9072fef948f9b913343c640c6a9e6cef","Food and Resource Economics, University of Copenhagen, Rolighedsvej 25, Frederiksberg C, 1958, Denmark; School of Environment, Natural Resources and Geography, Bangor University, Thoday Building, Deiniol Road, Gwynedd, Wales, LL57 2UW, United Kingdom; Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, GA  30302, United States; Instituto de Pesquisas Ecológicas, Nazaré Paulista, SP, Brazil","Rasolofoson, R.A., Food and Resource Economics, University of Copenhagen, Rolighedsvej 25, Frederiksberg C, 1958, Denmark, School of Environment, Natural Resources and Geography, Bangor University, Thoday Building, Deiniol Road, Gwynedd, Wales, LL57 2UW, United Kingdom; Ferraro, P.J., Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, GA  30302, United States; Jenkins, C.N., Instituto de Pesquisas Ecológicas, Nazaré Paulista, SP, Brazil; Jones, J.P.G., School of Environment, Natural Resources and Geography, Bangor University, Thoday Building, Deiniol Road, Gwynedd, Wales, LL57 2UW, United Kingdom","Community Forest Management (CFM) is a widespread conservation approach in the tropics. It is also promoted as a means by which payment for ecosystem services schemes can be implemented. However, evidence on its performance is weak. We investigated the effectiveness of CFM at reducing deforestation from 2000 to 2010 in Madagascar. To control for factors confounding impact estimates, we used statistical matching. We also contrasted the effects of CFM by whether commercial use of forest resources is allowed or not. We cannot detect an effect, on average, of CFM compared to no CFM, even when we restricted the sample to only where information suggests effective CFM implementation on the ground. Likewise, we cannot detect an effect of CFM where commercial use of natural resources is allowed. However, we can detect a reduction in deforestation in CFM that does not permit commercial uses, compared to no CFM or CFM allowing commercial uses. Our findings suggest that CFM and commercial use of forest resources are not guarantees of forest conservation and that differentiating among types of CFM is important. © 2015 The Authors.","Community Forest Management; Deforestation; Impact evaluation; Madagascar; Matching; Payments for ecosystem services","commercial activity; community forestry; community resource management; deforestation; ecosystem service; natural resource; Madagascar",Article,"Final","",Scopus,2-s2.0-84922986699
"Soares-Filho B., Rajâo R., Merry F., Rodrigues H., Davis J., Lima L., Macedo M., Coe M., Carneiro A., Santiago L.","6602606929;35183937500;56150638600;8226830900;57188762765;55649570255;54936080800;7005483371;56135858700;8852475700;","Brazil's market for trading forest certificates",2016,"PLoS ONE","11","4","e0152311","","",,76,"10.1371/journal.pone.0152311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962905589&doi=10.1371%2fjournal.pone.0152311&partnerID=40&md5=3b9468b42e9ffffef00ef70c5ed91ac9","Centro de Sensoriamento Remoto, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Laboratório de Gestâo de Serviços Ambientais, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Department of Forest Resources and Environmental Conservation, Virginia Tech, Blacksburg, VA, United States; IRI-THESys, Humboldt-Universitätzu Berlin, Unterden Linden 6, Berlin, Germany; Woods Hole Research Center, Falmouth, MA, United States; Agroicone, Av. General Furtado do Nascimento, Sâo Paulo, Brazil; Copenhagen Business School, Solbjerg Pl. 3, Frederiksberg, Denmark","Soares-Filho, B., Centro de Sensoriamento Remoto, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Rajâo, R., Laboratório de Gestâo de Serviços Ambientais, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Merry, F., Department of Forest Resources and Environmental Conservation, Virginia Tech, Blacksburg, VA, United States; Rodrigues, H., Centro de Sensoriamento Remoto, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Davis, J., Centro de Sensoriamento Remoto, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Lima, L., Centro de Sensoriamento Remoto, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, IRI-THESys, Humboldt-Universitätzu Berlin, Unterden Linden 6, Berlin, Germany; Macedo, M., Woods Hole Research Center, Falmouth, MA, United States; Coe, M., Woods Hole Research Center, Falmouth, MA, United States; Carneiro, A., Agroicone, Av. General Furtado do Nascimento, Sâo Paulo, Brazil; Santiago, L., Laboratório de Gestâo de Serviços Ambientais, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil, Copenhagen Business School, Solbjerg Pl. 3, Frederiksberg, Denmark","Brazil faces an enormous challenge to implement its revised Forest Code. Despite big losses for the environment, the law introduces new mechanisms to facilitate compliance and foster payment for ecosystem services (PES). The most promising of these is a market for trading forest certificates (CRAs) that allows landowners to offset their restoration obligations by paying for maintaining native vegetation elsewhere. We analyzed the economic potential for the emerging CRA market in Brazil and its implications for PES programs. Results indicate a potential market for trading 4.2 Mha of CRAs with a gross value of US$ 9.2±2.4 billion, with main regional markets forming in the states of Mato Grosso and Sâo Paulo. This would be the largest market for trading forests in the world. Overall, the potential supply of CRAs in Brazilian states exceeds demand, creating an opportunity for additional PES programs to use the CRA market. This expanded market could provide not only monetary incentives to conserve native vegetation, but also environmental co-benefits by fostering PES programs focused on biodiversity, water conservation, and climate regulation. Effective implementation of the Forest Code will be vital to the success of this market and this hurdle brings uncertainty into the market. Long-term commitment, both within Brazil and abroad, will be essential to overcome the many challenges ahead. © 2016 Soares-Filho et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"Article; biodiversity; Brazil; certification; climate; environmental management; environmental protection; forest management; government regulation; land use; vegetation; forest; theoretical model; Brazil; Conservation of Natural Resources; Forests; Models, Theoretical",Article,"Final","",Scopus,2-s2.0-84962905589
"Börner J., Mendoza A., Vosti S.A.","23033270300;23018942800;6603015126;","Ecosystem services, agriculture, and rural poverty in the Eastern Brazilian Amazon: Interrelationships and policy prescriptions",2007,"Ecological Economics","64","2",,"356","373",,69,"10.1016/j.ecolecon.2007.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36549018572&doi=10.1016%2fj.ecolecon.2007.03.001&partnerID=40&md5=49cd4d3b528613d8408f7624dc7ed9ee","International Center for Tropical Agriculture (CIAT), Amazon Initiative Consortium, Belem, Brazil; University of Bonn, Center for Development Research (ZEF), Germany; Department of Agricultural and Resource Economics, Center for Natural Resources Policy Analysis, University of California, One Shields Avenue, Davis, CA 95616-8512, United States","Börner, J., International Center for Tropical Agriculture (CIAT), Amazon Initiative Consortium, Belem, Brazil; Mendoza, A., University of Bonn, Center for Development Research (ZEF), Germany; Vosti, S.A., Department of Agricultural and Resource Economics, Center for Natural Resources Policy Analysis, University of California, One Shields Avenue, Davis, CA 95616-8512, United States","Policymakers seeking to modify financial incentives to increase the flows of ecosystem services in and around tropical moist forests must consider where to focus their attention and what collection of incentives can effectively achieve policy objectives. In most cases, policymakers focus on extensively forested areas where the flows of ecosystem services between agriculture and the environment is generally characterized by massive flows of carbon and soil nutrients from forests to agriculture. In these forest margin areas the stock of primary forest is eventually exhausted and the cheap ingredients provided by nature to agriculture become increasingly scarce. At this point, policy interest generally wanes, and agriculture and the environment begin slow declines in ecosystem service exchange, often with negative consequences for rural poverty. How does one promote increased flows of ecosystem services from agricultural lands without increasing poverty when forests and soils have been depleted? Can the standard instruments, e.g., payments for ecosystem services, be effective in such situations, and if so, do the costs to society of securing these services increase? Here we focus on the flows of ecosystem services at the end of the cycle of converting primary forest to agriculture. Primary data from the Bragantina area in the southeastern Brazilian Amazon, an area cleared of primary forest decades ago, are used to characterize smallholder production systems, to describe the flows of ecosystem services into and from these systems, and to develop a bioeconomic model of smallholder agriculture capable of predicting the effects of several types of policy action on ecosystem services provided by and to agriculture, and on-farm household incomes and food self-reliance. Of particular interest is the Proambiente Pilot Program in Brazil, which uses smallholder payment schemes to induce farmers to manage land and forest resources in ways that generate more ecosystem services. Baseline results suggest that smallholder agriculture leads to a gradual loss of ecosystem services (mainly above-ground and root carbon) provided by secondary forest fallows, and that reduction in fallow age leads to reductions in plant diversity. Intensifying agricultural activities accelerates this process, but considerably increases smallholder incomes. Paying farmers for ecosystem services linked to the retention of secondary forests and the Proambiente program both increase area in forest fallow, but the latter substantially reduces farm income because of input use restrictions. In general, programs aiming to promote the production of ecosystem services should not limit farmers' choices of ways to provide them. Employment and food self-reliance issues associated with policy options for increasing on-farm stocks of carbon and plant biodiversity are also explored. © 2007 Elsevier B.V. All rights reserved.","Agriculture; Biodiversity; Brazil; Carbon; Deforestation; Payment for ecosystem services","agriculture; ecosystem service; poverty; rural area; tropical forest; Amazonia; Brazil; South America",Article,"Final","",Scopus,2-s2.0-36549018572
"Brancalion P.H.S., Cardozo I.V., Camatta A., Aronson J., Rodrigues R.R.","21740850700;55985062900;55984302500;7202580727;7103188195;","Cultural ecosystem services and popular perceptions of the benefits of an ecological restoration project in the Brazilian Atlantic Forest",2014,"Restoration Ecology","22","1",,"65","71",,64,"10.1111/rec.12025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891621346&doi=10.1111%2frec.12025&partnerID=40&md5=724487b43312d673342dbdfb960923d9","Department of Forestry Luiz de Queiroz College of Agriculture, University of São Paulo, Avenue Pádua Dias 11, 13.418-900, Piracicaba, Brazil; Master in Ecosystem Restoration, University of Alcalá, Avenue Madrid-Barcelona, Km 33.600 28,871, Madrid, Spain; Department of Biology, Luiz de Queiroz College of Agriculture, University of São Paulo, Avenue Pádua Dias 11, 13.418-900, Piracicaba, Brazil; Centre d'Ecologie Fonctionnelle et Evolutive (CNRS-UMR 5175), 1919, Route de Mende, Montpellier, 34293, France; Missouri Botanical Garden, St. Louis, MO, United States","Brancalion, P.H.S., Department of Forestry Luiz de Queiroz College of Agriculture, University of São Paulo, Avenue Pádua Dias 11, 13.418-900, Piracicaba, Brazil; Cardozo, I.V., Master in Ecosystem Restoration, University of Alcalá, Avenue Madrid-Barcelona, Km 33.600 28,871, Madrid, Spain; Camatta, A., Department of Biology, Luiz de Queiroz College of Agriculture, University of São Paulo, Avenue Pádua Dias 11, 13.418-900, Piracicaba, Brazil; Aronson, J., Centre d'Ecologie Fonctionnelle et Evolutive (CNRS-UMR 5175), 1919, Route de Mende, Montpellier, 34293, France, Missouri Botanical Garden, St. Louis, MO, United States; Rodrigues, R.R., Department of Biology, Luiz de Queiroz College of Agriculture, University of São Paulo, Avenue Pádua Dias 11, 13.418-900, Piracicaba, Brazil","It is essential to understand how ecological restoration (ER) improves human well-being in order to justify more investments and upscaling in this emergent field of action. As part of a 22-year-old, 80ha ER project being carried out around a water reservoir that supplies drinking water to the city of Iracemápolis (population 19,700), in the mega-diversity Atlantic Forest biome of Brazil, we assessed local community perceptions of the tangible and intangible benefits expected to arise from this project. A detailed questionnaire was completed for 292 members of the local community to gauge perceptions of benefits arising from various cultural and provisioning ecosystem services (ESs; especially safe and clean drinking water) provided by the 80ha forest restoration project. A striking 94% of those interviewed wanted more ER projects in their community. Participants reported an appreciation for cultural ESs such as esthetic landscape improvement, tourism, recreation, as well as various religious, spiritual, and educational services. In addition, 87% of interviewees believed that the restoration project improved the quality of their drinking water, and 63% said they would agree to an increase in water tariffs if the proceeds were to be invested in more forest restoration. Judging from this study, investigation and subsequent communication of popular perceptions of the various benefits of ER projects could promote consensus-building and support for projects among stakeholders, and inform governmental and societal investments in restoration. © 2013 Society for Ecological Restoration.","monitoring; payments for ecosystem services; restoration assessment; restoration planting; tropical forest restoration","biome; cultural landscape; ecosystem service; environmental assessment; environmental monitoring; forest ecosystem; perception; restoration ecology; service provision; tropical forest; Atlantic Forest; Brazil",Article,"Final","",Scopus,2-s2.0-84891621346
"Parry L., Day B., Amaral S., Peres C.A.","23028858100;7203035599;7004745915;7005085103;","Drivers of rural exodus from Amazonian headwaters",2010,"Population and Environment","32","2",,"137","176",,64,"10.1007/s11111-010-0127-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650415496&doi=10.1007%2fs11111-010-0127-8&partnerID=40&md5=2365b2b9a80fbf48c7f7aef6c19c452c","School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, United Kingdom; Center for International Forestry Research (CIFOR), P.O. Box 6596, JKPWB, Jakarta 10065, Indonesia; Lancaster Environment Centre, Lancaster University, Lancaster LA1 4YQ, United Kingdom; Divisão de Processamento de Imagens, Instituto Nacional de Pesquisas Espaciais (INPE), Av. dos Astronautas, 1758 São José dos Campos, SP 12227-010, Brazil","Parry, L., School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, United Kingdom, Center for International Forestry Research (CIFOR), P.O. Box 6596, JKPWB, Jakarta 10065, Indonesia, Lancaster Environment Centre, Lancaster University, Lancaster LA1 4YQ, United Kingdom; Day, B., School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, United Kingdom; Amaral, S., Divisão de Processamento de Imagens, Instituto Nacional de Pesquisas Espaciais (INPE), Av. dos Astronautas, 1758 São José dos Campos, SP 12227-010, Brazil; Peres, C.A., School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, United Kingdom","Rural-urban migration can have both positive and negative environmental consequences for tropical forests. Rural residents exert pressure on the environment through farming, fishing, and forest extraction, yet conversely, protecting rural livelihoods is often the motivation for conserving large areas of threatened forest. This research examines rural settlement within the Brazilian Amazon to shed light on the drivers of on-going rural exodus and its environmental implications. Specifically, we examine the relative importance of public service provision and natural resources in determining settlement patterns along, and rural-urban migration from, eight rivers in road-less regions of the Brazilian Amazon. Data include biophysical, social, and economic variables that were assessed in 184 riverine settlements along rural-urban gradients up to 740 km from the nearest urban center. Settlements were smaller upstream, and lacked key services such as schools and healthcare. We found that clustering of rural populations close to urban centers reflects the high costs of living in remote areas, despite abundant natural resources which previously justified migration to headwaters. Impeded dry-season navigability and transport costs restricted the flow of goods and services to and from remote areas, and transaction costs of trade exchange were higher upstream. A lack of school access was the main motivation for rural-urban migration and the abandonment of remote riverine settlements. A key policy implication is that while education services could provide a powerful tool to stabilize and support rural populations, delivery is challenging in remote areas and may also encourage further rural-urban migration in the longer term. Furthermore, river-dwellers in remote areas rarely visited remote urban centers, presumably because these journeys are too costly. We examine the implications of our findings for anti-poverty subsidies and payment for ecosystem services and conclude that transport costs required to receive payment could encourage further depopulation of remote areas. © 2010 Springer Science+Business Media, LLC.","Brazil; Migration; Riverine; Rural settlement; Rural-urban; Urbanization","ecosystem service; headwater; natural resource; nature-society relations; public service; rural population; rural-urban migration; subsidy system; tropical forest; urbanization; environmental impact; rural policy; settlement pattern; Brazil; Amazonia",Article,"Final","",Scopus,2-s2.0-78650415496
"Richards R.C., Rerolle J., Aronson J., Pereira P.H., Gonçalves H., Brancalion P.H.S.","56878218100;56878840300;7202580727;26422409500;57200767341;21740850700;","Governing a pioneer program on payment for watershed services: Stakeholder involvement, legal frameworks and early lessons from the Atlantic forest of Brazil",2015,"Ecosystem Services","16",,,"23","32",,63,"10.1016/j.ecoser.2015.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942612642&doi=10.1016%2fj.ecoser.2015.09.002&partnerID=40&md5=ef12eff530b93b2d9cee37f38abeaf01","Department of Environmental Science and Policy, George Mason University, 4400 University Drive, Fairfax, VA  22030, United States; Center for Conservation and Sustainability, Smithsonian Conservation Biology Institute, National Zoological Park, Washington, DC, United States; AgroParisTech, Centre de Montpellier-Gestion Environnementale des Ecosystèmes et des Forêts Tropicales, Campus d'Agropolis International, 648 Rue Jean-François Breton, Montpellier Cedex 5, 34093, France; Department of Forest Sciences, Luiz de Queiroz College of Agriculture, University of São Paulo, Avenue Pádua Dias 11, 13, Piracicaba, 418-900, Brazil; Centre d'Ecologie Fonctionnelle et Evolutive (UMR 5175), CEFE-campus CNRS, 1919 Route de Mende, Montpellier, 34293, France; Missouri Botanical Garden, St. Louis, MO, United States; Environmental Secretariat of Extrema, Extrema, Minas Gerais, Brazil; Graduate Program on Applied Ecology, University of São Paulo, Avenue Pádua Dias 11, 13, Piracicaba, 418-900, Brazil","Richards, R.C., Department of Environmental Science and Policy, George Mason University, 4400 University Drive, Fairfax, VA  22030, United States, Center for Conservation and Sustainability, Smithsonian Conservation Biology Institute, National Zoological Park, Washington, DC, United States; Rerolle, J., AgroParisTech, Centre de Montpellier-Gestion Environnementale des Ecosystèmes et des Forêts Tropicales, Campus d'Agropolis International, 648 Rue Jean-François Breton, Montpellier Cedex 5, 34093, France, Department of Forest Sciences, Luiz de Queiroz College of Agriculture, University of São Paulo, Avenue Pádua Dias 11, 13, Piracicaba, 418-900, Brazil; Aronson, J., Centre d'Ecologie Fonctionnelle et Evolutive (UMR 5175), CEFE-campus CNRS, 1919 Route de Mende, Montpellier, 34293, France, Missouri Botanical Garden, St. Louis, MO, United States; Pereira, P.H., Environmental Secretariat of Extrema, Extrema, Minas Gerais, Brazil; Gonçalves, H., Graduate Program on Applied Ecology, University of São Paulo, Avenue Pádua Dias 11, 13, Piracicaba, 418-900, Brazil; Brancalion, P.H.S., Department of Forest Sciences, Luiz de Queiroz College of Agriculture, University of São Paulo, Avenue Pádua Dias 11, 13, Piracicaba, 418-900, Brazil","Increasing acceptance of payments for ecosystem services (PES) programs as environmental policy alternatives suggests a clear need for research on PES implementation, both to validate theoretical frameworks and improve approaches for existing and future programs. We provide a history of the 10-year old Conservador das Águas program in Extrema, a city in Minas Gerais located within the Atlantic Forest of Brazil. To date, the program has coordinated restoration activities that have increased native forest cover in 60% in targeted sub-watershed through contracts with 53 landowners, and has established long-term collaborations among government agencies, civil society, and landowners. Evaluation of the institutional elements of the program using an institutional framework reveals lessons that are relevant for future projects. We find that national legislation and local government organizations have played key roles in enabling and maintaining program activities. Further, strategic decisions by program staff, including targeting important regions and actors within the municipality, the use of Forest Code mandates as an incentive for participation, and use of municipal legislation to secure funding, were critical to the program's success. We use an institutional framework to provide a review of the program, including its legal context, actors, and financial instruments, for those engaged in establishing and sustaining similar programs. © 2015 Published by Elsevier B.V.","Environmental compliance; Forest restoration; Participation; Payment for ecosystem services; PES financing; PES governance; PES legislation; Water policy",,Article,"Final","",Scopus,2-s2.0-84942612642
"Wunder S., Wertz-Kanounnikoff S.","7003871913;35186650000;","Payments for ecosystem services: A new way of conserving biodiversity in forests",2009,"Journal of Sustainable Forestry","28","3-5",,"576","596",,63,"10.1080/10549810902905669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70649100061&doi=10.1080%2f10549810902905669&partnerID=40&md5=475833f84761d9a828a23eb3938f723a","CIFOR, Belem, Brazil; CIFOR, Bogor, Indonesia","Wunder, S., CIFOR, Belem, Brazil; Wertz-Kanounnikoff, S., CIFOR, Bogor, Indonesia","The concept of payments for ecosystem services (PES) is probably the most promising innovation in conservation since Rio 1992, slowly but certainly to expand in the tropics. In a global context of stagnating or even decreasing public funding for biodiversity conservation, PES have the potential both to raise some new funds, and to absorb more efficiently money previously spent otherwise. The most novel and persuasive feature of PES lies in its ""businesslike"" conditional payment form, which differs from traditional conservation projects. The most promising entry point for international PES transfers for biodiversity interests seems to be to piggyback on the currently revived debate on reducing emissions from deforestation and degradation (REDD). The novel idea here would be to make agreements at the nation-state level, either bilaterally or multilaterally, and either within or outside the Kyoto framework. However, to take advantage of this opportunity, biodiversity conservation and forest stakeholders would need to be more proactive in the REDD debate than we have seen so far. © Taylor & Francis Group, LLC.","Biodiversity; Forest conservation; Payments for ecosystem services","Biodiversity conservation; Conservation projects; Ecosystem services; Entry point; Forest conservation; Global context; Payments for ecosystem services; Public funding; Biodiversity; Conservation; Deforestation; Potential energy; Potential energy surfaces; Ecosystems; afforestation; biodiversity; ecosystem service; emission control; environmental economics; forest management; land tenure; poverty alleviation; stakeholder; transaction cost; watershed; Biodiversity; Conservation; Deforestation; Ecosystems; Energy; Forestry; Services; Surfaces; Asia; China; Eurasia; Far East; India; Indonesia; Nepal; Philippines; South Asia; Southeast Asia",Article,"Final","",Scopus,2-s2.0-70649100061
"Muradian R.","6701521437;","Payments for Ecosystem Services as Incentives for Collective Action",2013,"Society and Natural Resources","26","10",,"1155","1169",,62,"10.1080/08941920.2013.820816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885067118&doi=10.1080%2f08941920.2013.820816&partnerID=40&md5=8d6ce8e65755e016f3f7c61db4ec1096","Centre for International Development Issues Nijmegen (CIDIN), Radboud University Nijmegen, Nijmegen, Netherlands; Department of Development, Agriculture and Society, Federal Rural University of Rio de Janeiro, Rio de Janeiro, Brazil","Muradian, R., Centre for International Development Issues Nijmegen (CIDIN), Radboud University Nijmegen, Nijmegen, Netherlands, Department of Development, Agriculture and Society, Federal Rural University of Rio de Janeiro, Rio de Janeiro, Brazil","The design and thriving of payments for ecosystem services (PES) have occurred as a response to the relative failure of integrated strategies for reconciling conservation and development. The most widespread definition of PES conceives these payments as markets to solve environmental externalities. This article analyzes the limitations of this ""Coasean"" approach using insights from transaction costs economics, and it pleads for looking at PES with different analytical lenses. It argues that PES should be seen as ""incentives for collective action."" However, the extent to which incentives can contribute to the management of ES should not be taken for granted. The effects of monetary incentives are determined by their ""social meanings,"" which are context and culture dependent. The proposed conceptual shift has significant analytical and practical implications. © 2013 Copyright Taylor and Francis Group, LLC.","behavioral economics; collective action; environmental governance; payments for ecosystem services; transaction costs economics","collective action; conservation management; ecosystem service; environmental economics; governance approach; incentive; transaction cost",Article,"Final","",Scopus,2-s2.0-84885067118
"Börner J., Wunder S., Wertz-Kanounnikoff S., Hyman G., Nascimento N.","23033270300;7003871913;35186650000;9739894000;36126814200;","Forest law enforcement in the Brazilian Amazon: Costs and income effects",2014,"Global Environmental Change","29",,,"294","305",,57,"10.1016/j.gloenvcha.2014.04.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921734286&doi=10.1016%2fj.gloenvcha.2014.04.021&partnerID=40&md5=983b6ce8d870862f113b5136d2cd242b","Center for Development Research, University of Bonn, Walter-Flex-Str. 3, Bonn, 53113, Germany; Center for International Forestry Research (CIFOR), Rua do Russel 450/s.601, 22.210-010, Rio de Janeiro, RJ, Brazil; Ministry of Foreign Affairs and International Development, Paris, France; International Center for Tropical Agriculture (CIAT), Cali, Colombia; Environmental consultant, Belém, Brazil","Börner, J., Center for Development Research, University of Bonn, Walter-Flex-Str. 3, Bonn, 53113, Germany, Center for International Forestry Research (CIFOR), Rua do Russel 450/s.601, 22.210-010, Rio de Janeiro, RJ, Brazil; Wunder, S., Center for International Forestry Research (CIFOR), Rua do Russel 450/s.601, 22.210-010, Rio de Janeiro, RJ, Brazil; Wertz-Kanounnikoff, S., Ministry of Foreign Affairs and International Development, Paris, France; Hyman, G., International Center for Tropical Agriculture (CIAT), Cali, Colombia; Nascimento, N., Environmental consultant, Belém, Brazil","Despite recent success in reducing forest loss in the Brazilian Amazon, additional forest conservation efforts, for example, through 'Reducing Emissions from Deforestation and Forest Degradation' (REDD+), could significantly contribute to global climate-change mitigation. Economic incentives, such as payments for environmental services could promote conservation, but deforestation often occurs on land without crucial tenure-security prerequisites. Improving the enforcement of existing regulatory disincentives thus represents an important element of Brazil's anti-deforestation action plan. However, conservation law enforcement costs and benefits have been much less studied than for conditional payments. We develop a conceptual framework and a spatially explicit model to analyze field-based regulatory enforcement in the Brazilian Amazon. We validate our model, based on historical deforestation and enforcement mission data from 2003 to 2008. By simulating the current conservation law enforcement practice, we analyze the costs of liability establishment and legal coercion for alternative conservation targets, and evaluate corresponding income impacts. Our findings suggest that spatial patterns of both deforestation and inspection costs markedly influence enforcement patterns and their income effects. Field-based enforcement is a highly cost-effective forest conservation instrument from a regulator's point of view, but comes at high opportunity costs for land users. Payments for environmental services could compensate costs, but will increase budget outlays vis-à-vis a command-and-control dominated strategy. Both legal and institutional challenges have to be overcome to make conservation payments work at a larger scale. Decision-makers may have to innovatively combine incentive and disincentive-based policy instruments in order to make tropical forest conservation both financially viable and socially compatible. © 2014 Elsevier Ltd.","Environmental policy mix; Forest conservation; Reducing emissions from deforestation and forest degradation (REDD+); Spatial enforcement model",,Article,"Final","",Scopus,2-s2.0-84921734286
"Börner J., Kis-Katos K., Hargrave J., König K.","23033270300;15923175300;55377338500;56647656300;","Post-crackdown effectiveness of field-based forest law enforcement in the Brazilian Amazon",2015,"PLoS ONE","10","4","e0121544","","",,53,"10.1371/journal.pone.0121544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929485285&doi=10.1371%2fjournal.pone.0121544&partnerID=40&md5=2d0dc87f923ea3ea3a59b26eca478196","Center for Development Research, University of Bonn, Bonn, Germany; Center for International Forestry Research, Bogor, Indonesia; Institute for Economic Research, University of Freiburg, Freiburg, Germany; Boston Consulting Group, São Paulo, Brazil; Integrative Research Institute on Transformations of Human-Environment Systems, Humboldt -Universität zu Berlin, Berlin, Germany","Börner, J., Center for Development Research, University of Bonn, Bonn, Germany, Center for International Forestry Research, Bogor, Indonesia; Kis-Katos, K., Institute for Economic Research, University of Freiburg, Freiburg, Germany; Hargrave, J., Boston Consulting Group, São Paulo, Brazil; König, K., Integrative Research Institute on Transformations of Human-Environment Systems, Humboldt -Universität zu Berlin, Berlin, Germany","Regulatory enforcement of forest conservation laws is often dismissed as an ineffective approach to reducing tropical forest loss. Yet, effective enforcement is often a precondition for alternative conservation measures, such as payments for environmental services, to achieve desired outcomes. Fair and efficient policies to reducing emissions from deforestation and forest degradation (REDD) will thus crucially depend on understanding the determinants and requirements of enforcement effectiveness. Among potential REDD candidate countries, Brazil is considered to possess the most advanced deforestation monitoring and enforcement infrastructure. This study explores a unique dataset of over 15 thousand point coordinates of enforcement missions in the Brazilian Amazon during 2009 and 2010, after major reductions of deforestation in the region. We study whether local deforestation patterns have been affected by field-based enforcement and to what extent these effects vary across administrative boundaries. Spatial matching and regression techniques are applied at different spatial resolutions. We find that field-based enforcement operations have not been universally effective in deterring deforestation during our observation period. Inspections have been most effective in reducing large-scale deforestation in the states of Mato Grosso and Pará, where average conservation effects were 4.0 and 9.9 hectares per inspection, respectively. Despite regional and actor-specific heterogeneity in inspection effectiveness, field-based law enforcement is highly cost-effective on average and might be enhanced by closer collaboration between national and state-level authorities. © 2015 Börner et al.",,"Article; Brazil; conceptual framework; controlled study; cost effectiveness analysis; deforestation; ecosystem monitoring; environmental economics; environmental management; environmental planning; environmental protection; law enforcement; rain forest; environmental protection; forest; human; legislation and jurisprudence; Brazil; Conservation of Natural Resources; Forests; Humans; Law Enforcement",Article,"Final","",Scopus,2-s2.0-84929485285
