"Universidade Federal do Parana,""5""";;"Universidade Federal de Santa Catarina,""5""";5;;;
"Universidade Federal de Santa Catarina,""5""";;"Universidade Federal de São Carlos,""5""";5;;;
"Universidade Federal Rural do Rio de Janeiro,""5""";;"Universidade Federal do Parana,""5""";5;;;
"Embrapa Amazônia Oriental,""5""";;"Universidade Federal Rural do Rio de Janeiro,""5""";5;;;
"Lancaster Environment Centre,""5""";;"Woods Hole Research Center,""5""";5;;;
"Woods Hole Research Center,""5""";;"Conservation International,""1""";4;;;
"Radboud Universiteit,""4""";;"International Institute for Sustainability,""1""";4;;;
"Københavns Universitet,""4""";;"Københavns Universitet,""4""";4;;;
"Pontifícia Universidade Católica do Rio de Janeiro,""4""";;"Pontifícia Universidade Católica do Rio de Janeiro,""4""";4;;;
"The World Bank, USA,""4""";;"Radboud Universiteit,""4""";4;;;
"International Institute for Sustainability,""3""";;"The World Bank, USA,""4""";4;;;
"Humboldt-Universität zu Berlin,""3""";;"University of Vermont,""3""";4;;;
"Universidade Federal de Mato Grosso,""3""";;"Centro de Investigação e de Tecnologias Agroambientais e Biológicas,""3""";3;;;
"Wageningen University & Research,""3""";;"Federal University of Espirito Santo,""3""";3;;;
"Universidade do Estado do Rio de Janeiro,""3""";;"Fundação Centros de Referência Em Tecnologias Inovadoras CERTI,""1""";3;;;
"Norges Miljø- og Biovitenskapelige Universitet,""3""";;"George Mason University,""3""";3;;;
"University of Vermont,""3""";;"Humboldt-Universität zu Berlin,""3""";3;;;
"University of Florida,""3""";;"Imperial College London,""3""";3;;;
"University of Trás-os-Montes and Alto Douro,""3""";;"Ministério do Meio Ambiente, Brazil,""3""";3;;;
"Imperial College London,""3""";;"National Zoological Park,""3""";3;;;
"University of Toronto,""3""";;"Nature Conservancy,""3""";3;;;
"Nature Conservancy,""3""";;"Norges Miljø- og Biovitenskapelige Universitet,""3""";3;;;
"George Mason University,""3""";;"The University of Queensland,""3""";3;;;
"Universidade Federal do Rio Grande do Norte,""3""";;"Universidade de Brasília,""3""";3;;;
"Universidade de Brasília,""3""";;"Universidade do Estado do Rio de Janeiro,""3""";3;;;
"CIRAD Centre de Recherche de Montpellier,""3""";;"Universidade Federal de Mato Grosso,""3""";3;;;
"Federal University of Espirito Santo,""3""";;"Universidade Federal do Rio Grande do Norte,""3""";3;;;
"University of Minnesota Twin Cities,""3""";;"University of Florida,""3""";3;;;
"National Zoological Park,""3""";;"University of Minnesota Twin Cities,""3""";3;;;
"The University of Queensland,""3""";;"University of Toronto,""3""";3;;;
"Ministério do Meio Ambiente, Brazil,""3""";;"University of Trás-os-Montes and Alto Douro,""3""";3;;;
"Centro de Investigação e de Tecnologias Agroambientais e Biológicas,""3""";;"Wageningen University & Research,""3""";3;;;
"Fundação Florestal,""2""";;"Amazon Environmental Research Institute IPAM,""1""";2;;;
"CIFOR,""2""";;"Aquaflora Meio Ambiente,""2""";2;;;
"Center for International Forestry Research,""2""";;"BC3 Basque Centre for Climate Change,""2""";2;;;
"Center for International Forestry Research CIFOR,""2""";;"Centre d’Ecologie Fonctionnelle et Evolutive,""2""";2;;;
"Center for International Forestry Research CIFOR,""2""";;"Centro Internacional de Agricultura Tropical,""2""";2;;;
"Center for International Forestry Research,""2""";;"City University of New York,""2""";2;;;
"Aquaflora Meio Ambiente,""2""";;"Fundação Florestal,""2""";2;;;
"Missouri Botanical Garden,""2""";;"Helmholtz Zentrum für Umweltforschung,""2""";2;;;
"Universidade Federal do ABC,""2""";;"Ikerbasque, the Basque Foundation for Science,""2""";2;;;
"Universidade Federal Fluminense,""2""";;"Instituto Federal do Sudeste de Minas Gerais,""1""";2;;;
"The University of Sheffield,""2""";;"Instituto Tecnologico de Aeronautica,""2""";2;;;
"Universidade Federal do Pará,""2""";;"Instituto Tecnológico Vale,""2""";2;;;
"Universidade Federal de Campina Grande,""2""";;"Leibniz-Zentrum für Agrarlandschaftsforschung ZALF e. V.,""2""";2;;;
"UK Centre for Ecology & Hydrology,""2""";;"Ministry of Education Brazil,""2""";2;;;
"Universidade Federal do Rio Grande do Sul,""2""";;"Missouri Botanical Garden,""2""";2;;;
"City University of New York,""2""";;"Natural Environment Research Council,""2""";2;;;
"Natural Environment Research Council,""2""";;"Opole University of Technology,""2""";2;;;
"Thomson, SA,""2""";;"Stanford University,""2""";2;;;
"Opole University of Technology,""2""";;"Stockholm Resilience Centre,""2""";2;;;
"Universidad de Guadalajara,""2""";;"Stockholms universitet,""2""";2;;;
"The University of British Columbia,""2""";;"Texas A&M University,""2""";2;;;
"Stanford University,""2""";;"The University of British Columbia,""2""";2;;;
"University of California, Davis,""2""";;"The University of Sheffield,""2""";2;;;
"Universidade Federal de Pelotas,""2""";;"Thomson, SA,""2""";2;;;
"Universidade Federal de Uberlândia,""2""";;"UK Centre for Ecology & Hydrology,""2""";2;;;
"Universidade Federal do Acre,""2""";;"Universidad de Guadalajara,""2""";2;;;
"Helmholtz Zentrum für Umweltforschung,""2""";;"Universidad de Los Andes, Colombia,""2""";2;;;
"Universidade de Santa Cruz do Sul,""2""";;"Universidad Nacional Autónoma de México,""2""";2;;;
"Ministry of Education Brazil,""2""";;"Universidade de Santa Cruz do Sul,""2""";2;;;
"Texas A&M University,""2""";;"Universidade do Contestado,""2""";2;;;
"Instituto Tecnologico de Aeronautica,""2""";;"Universidade Estadual de Santa Cruz,""2""";2;;;
"Universität Potsdam,""2""";;"Universidade Federal de Campina Grande,""2""";2;;;
"University of North Texas,""2""";;"Universidade Federal de Pelotas,""2""";2;;;
"Universidade Estadual de Santa Cruz,""2""";;"Universidade Federal de Santa Maria,""2""";2;;;
"Stockholms universitet,""2""";;"Universidade Federal de Uberlândia,""2""";2;;;
"CIRAD,""2""";;"Universidade Federal do ABC,""2""";2;;;
"University of Cambridge,""2""";;"Universidade Federal do Acre,""2""";2;;;
"Universidade do Contestado,""2""";;"Universidade Federal do Pará,""2""";2;;;
"Universidad Nacional Autónoma de México,""2""";;"Universidade Federal do Rio Grande do Sul,""2""";2;;;
"University of the Sunshine Coast,""2""";;"Universidade Federal Fluminense,""2""";2;;;
"Universidade Federal de Santa Maria,""2""";;"Universität Potsdam,""2""";2;;;
"Centro Internacional de Agricultura Tropical,""2""";;"Université de Montpellier,""2""";2;;;
"Universidad de Los Andes, Colombia,""2""";;"University of California, Davis,""2""";2;;;
"Centre d’Ecologie Fonctionnelle et Evolutive,""2""";;"University of Cambridge,""2""";2;;;
"Leibniz-Zentrum für Agrarlandschaftsforschung ZALF e. V.,""2""";;"University of North Texas,""2""";2;;;
"Ikerbasque, the Basque Foundation for Science,""2""";;"University of the Sunshine Coast,""2""";2;;;
"BC3 Basque Centre for Climate Change,""2""";;"African Technology Policy Studies Network,""1""";1;;;
"Université de Montpellier,""2""";;"Ambulatório Municipal de Hepatites Virais de São José Dos Campos,""1""";1;;;
"Instituto Tecnológico Vale,""2""";;"Associação Monte Pico,""1""";1;;;
"Embrapa Acre,""2""";;"Carbones del Cerrejón Limited El Cerrejón,""1""";1;;;
"Stockholm Resilience Centre,""2""";;"Centro Universitário Internacional Uninter,""1""";1;;;
"EcoCiencia,""1""";;"EcoCiencia,""1""";1;;;
"Center for International Forestry Research,""1""";;"Environmental consultant,""1""";1;;;
"Research,""1""";;"Environmental Secretariat of Extrema,""1""";1;;;
"Instituto de Pesquisas Ecológicas,""1""";;"ER Nimmo Consulting,""1""";1;;;
"Instituto Estadual de Florestas,""1""";;"ESCAS,""1""";1;;;
"Center for International Forestry Research CIFOR,""1""";;"Escola Nacional de Ciências Estatísticas,""1""";1;;;
"CIFOR,""1""";;"Escola Superior de Conservação Ambiental e Sustentabilidade ESCAS/IPÊ,""1""";1;;;
"Stockholm Heart Centre,""1""";;"F.R.S.-FNRS,""1""";1;;;
"CIFOR,""1""";;"FIFO/UNISANTA,""1""";1;;;
"Escola Nacional de Ciências Estatísticas,""1""";;"ForestAction Nepal,""1""";1;;;
"Fundación Natura Bolivia,""1""";;"Fundação Brasileira para o Desenvolvimento Sustentável,""1""";1;;;
"University of Vermonth,""1""";;"Fundação Maronna,""1""";1;;;
"Fundação CERTI,""1""";;"Fundación Natura Bolivia,""1""";1;;;
"Fundação CERTI,""1""";;"Fundación Neotrópica,""1""";1;;;
"Conservation International,""1""";;"Gund Institute for Ecological Economics,""1""";1;;;
"Fundação Brasileira para o Desenvolvimento Sustentável,""1""";;"Institute for Conservation and Sustainable Development of Amazonas IDESAM,""1""";1;;;
"Fundação Maronna,""1""";;"Instituto de Pesquisas Ecológicas,""1""";1;;;
"The Centre for Agricultural Research in Suriname,""1""";;"Instituto Estadual de Florestas,""1""";1;;;
"Conservation International,""1""";;"Instituto Estadual do Ambiente,""1""";1;;;
"International Center for Tropical Agriculture,""1""";;"Instituto Federal de Educação, Ciência e Tecnologia do Acre,""1""";1;;;
"Fundação Centros de Referência Em Tecnologias Inovadoras CERTI,""1""";;"International Center for Tropical Agriculture,""1""";1;;;
"Gund Institute for Ecological Economics,""1""";;"Karura Forest,""1""";1;;;
"Ministry of Agriculture,""1""";;"Ministry of Agriculture,""1""";1;;;
"Carbones del Cerrejón Limited El Cerrejón,""1""";;"Mpingo Conservation and oDevelopment Initiative,""1""";1;;;
"UNISANTA,""1""";;"Permian Brasil,""1""";1;;;
"F.R.S.-FNRS,""1""";;"Piatam Institute,""1""";1;;;
"ESCAS,""1""";;"Prefeitura da Cidade do Rio de Janeiro,""1""";1;;;
"Conservation International Colombia,""1""";;"Research,""1""";1;;;
"Amazon Environmental Research Institute IPAM,""1""";;"Stockholm Heart Centre,""1""";1;;;
"Universiteit van Antwerpen,""1""";;"The Caribbean Institute,""1""";1;;;
"Associação Monte Pico,""1""";;"The Centre for Agricultural Research in Suriname,""1""";1;;;
"Prefeitura da Cidade do Rio de Janeiro,""1""";;"UNISANTA,""1""";1;;;
"Center for International Forestry Research CIFOR,""1""";;"Universidade Estadual de Mato Grosso do Sul - UEMS,""1""";1;;;
"Instituto Federal do Sudeste de Minas Gerais,""1""";;"Universidade Federal do Sul da Bahia,""1""";1;;;
"Instituto Estadual do Ambiente,""1""";;"Universiteit van Antwerpen,""1""";1;;;
"Institute for Conservation and Sustainable Development of Amazonas IDESAM,""1""";;"WWF-Netherlands,""1""";1;;;
"WWF-Netherlands,""1""";;;;;;
"Conservación Internacional,""1""";;;;;;
"Ambulatório Municipal de Hepatites Virais de São José Dos Campos,""1""";;;;;;
"Centro Universitário Internacional Uninter,""1""";;;;;;
"FIFO/UNISANTA,""1""";;;;;;
"Universidade Estadual de Mato Grosso do Sul - UEMS,""1""";;;;;;
"Piatam Institute,""1""";;;;;;
"African Technology Policy Studies Network,""1""";;;;;;
"Fundación Neotrópica,""1""";;;;;;
"Center for International Forestry Research CIFOR,""1""";;;;;;
"Permian Brasil,""1""";;;;;;
"ForestAction Nepal,""1""";;;;;;
"Escola Superior de Conservação Ambiental e Sustentabilidade ESCAS/IPÊ,""1""";;;;;;
"The Caribbean Institute,""1""";;;;;;
"Mpingo Conservation and oDevelopment Initiative,""1""";;;;;;
"International Institute for Sustainability,""1""";;;;;;
"Karura Forest,""1""";;;;;;
"Environmental consultant,""1""";;;;;;
"Instituto Federal de Educação, Ciência e Tecnologia do Acre,""1""";;;;;;
"ER Nimmo Consulting,""1""";;;;;;
"Universidade Federal do Sul da Bahia,""1""";;;;;;
"Amazon Environmental Research Institute IPAM,""1""";;;;;;
"Environmental Secretariat of Extrema,""1""";;;;;;
"Instituto Federal do Sudeste de Minas Gerais,""1""";;;;;;
